Rep,Dropout-NLL,Dropout-MSE,Sigma-NLL,Sigma-MSE
0,27.605402967649628,13.70609620929191,7.736618351171919,8.04591729404935
1,103.73441886183922,8.270830976275573,23.589973839191842,2.2029190791250928
2,89.24921453546862,3.8789729955772225,4.133962224513527,4.5369976304409585
3,105.28561818378222,6.449039161620455,2.3190300842760014,25.77033195507626
4,21.19897770528715,124.42557156430375,2.6158903399384963,13.085082840145127
5,24.87946167763565,5.0422525878753985,155.569755540863,4.356703001334155
6,45.96877016562487,37.29719723143985,7.1568873186667545,0.9428973400655007
7,58.94567714439264,6.490595593770167,5.972058567462002,52.98251587503371
8,15.266410479094922,92.771135714153,3.1275123306628334,37.97885142233415
9,53.9434495312001,51.623868406296644,11.705234941101335,3.23473246644205
