Rep,Ensemble-NLL,Ensemble-MSE,HydraNet-NLL,HydraNet-MSE,HydraNet-Sigma-NLL,HydraNet-Sigma-MSE
0,1.445390442084051,1.5215809428040385,4.244753152666743,4.405823398364683,1.605292176822895,2.0181862829302393
1,1.6891483253221953,1.3753679566111403,11.453334219455463,7.755368578113238,1.5584307114804152,2.044090756665031
2,1.373478431350672,1.6058058060138816,2.7754471345526617,5.38570446569242,1.5280837996322825,3.9414302376272015
3,1.318574334787277,2.959685835148739,5.680437612155969,69.09207732822038,1.733637955867395,0.9213022401095805
4,1.2903839227342684,0.8686546406753851,4.593860388743527,8.006666807649514,1.6873278597595456,1.889278255724891
5,1.3928187179240867,6.6842940547710565,7.790656337735125,17.830234417553168,1.9616660333154377,19.72800281759416
6,1.3191401306420538,1.0852503372198574,6.162925292526365,11.082043177629025,1.6813682422195135,9.498527391365881
7,1.326165470834426,2.422819581275356,11.52309136306302,11.776434392649092,1.713182898146032,8.593383096248576
8,1.411287568143096,2.979448113713929,2.6728473694984287,6.499970579900249,1.5490015077060895,5.063955765670546
9,1.3029918503916924,2.7736493645183184,5.527057379676802,10.939617144657118,1.6150023713781914,4.822404336627479
10,1.4395451260766499,1.3027124802176093,1.9234891194085615,5.019713241989492,1.5854350392416858,3.695130708358456
11,1.4930767805738454,6.356983983053848,8.898487905864965,15.434942298714963,1.8700159901719258,14.616789127338807
12,1.4991506643290031,1.8268200337251337,3.565543260283601,7.335505790795761,1.6686355588375816,5.454185277411057
13,1.1207487461534074,1.1578292227909828,3.6431311940368847,26.59567978596488,1.9207777578504366,1.440786731796929
14,1.4561220878184642,2.091746922292452,4.094795284908649,10.061158150684879,1.5043287214341785,2.944120378210475
15,1.351975979234653,1.5608709968055274,2.2959628783412676,3.787375691844486,1.5331762555429451,4.17668281714754
16,1.3650311038551488,3.3461719919407478,9.983666213744623,7.600776116519191,1.4554366805672225,2.8505048802761666
17,1.7327383797331948,27.05625725529912,3.554712446897338,12.112185473332016,1.708301916218385,7.623721844993143
18,1.2374851893954073,1.1210004484292633,2.518545162186465,3.6530518625022848,1.5618135437059277,2.5162545875926328
19,1.5804772283932584,4.923182028893023,4.334203712231028,10.131122813215786,1.6121732176882824,5.67236156716255
20,1.6188483212838625,12.823996089196541,3.8787393248952866,14.634340066738265,2.0730845932019584,11.611419411621744
21,1.3717257903389273,3.2637562911444014,10.509175867401444,16.374446189181896,1.7744483176733408,11.483947820650192
22,1.6082574213534508,9.668517955668271,6.863682663213491,9.337315885990074,1.9678544337370139,5.20974122782481
23,1.7992701190053828,1.2018336143591761,7.509334020462401,9.246007095483883,1.6477896607696874,4.500168485328922
24,1.5131365702410375,6.266845403106322,2.3253806432111306,18.855563088512007,1.8876580086856578,7.9262929067452355
