Rep,Dropout-NLL,Dropout-MSE,Ensemble-NLL,Ensemble-MSE,Sigma-NLL,Sigma-MSE,HydraNet-NLL,HydraNet-MSE,HydraNet-Sigma-NLL,HydraNet-Sigma-MSE
0,379.7791515456072,4.620935588897405,2.1391301208346998,1.4016311981774348,7.448746292007388,6.689223514927125,70.88247250307367,4.503404974706821,9.618296405322212,5.888777043944422
1,414.86480524092303,5.067042160184711,2.3885199275524176,1.3329222645449306,8.221807982834287,7.544757217181355,40.80861204353162,4.42987879318454,10.02975610951294,6.066285856747918
2,775.5840755283302,4.4648964113513125,2.4787516778433196,3.9383119338136017,7.531148093246316,6.2334702965074005,41.43443568790157,6.668626792292481,9.768880647697896,6.12391266805442
3,309.3894760368025,4.00854234131287,1.955213270678324,2.074559781829711,7.787646360110071,7.497382485824534,67.26920002442839,5.480905873724492,9.482844276699177,7.254852569705431
4,133.02373369107522,3.9481237012595103,1.934146068195844,1.669322863773667,7.963543928391613,7.277166111592238,65.62253835829712,4.496994558106445,7.4329653641830475,6.195428699395999
