Rep,Ensemble-NLL,Ensemble-MSE,HydraNet-NLL,HydraNet-MSE,HydraNet-Sigma-NLL,HydraNet-Sigma-MSE
0,1.7897733444093327,3.449086338537663,6.560232964239831,8.780374871310194,1.7804177917449047,4.986453308681443
1,1.3766095072926283,2.1016279736762487,9.502987759152568,9.981968934055628,1.5222312463611387,4.549303036596299
2,1.7487857594767378,2.059255229327349,7.1664017207573,7.094737647402262,1.6216568073485782,0.7888456526533176
3,1.6848914077917936,1.9076556641521207,25.552582878191565,6.975848208238026,1.684014104330084,5.844119047006005
4,1.5656399054333565,9.1484262614783,21.438794278734985,8.499723841182053,1.7434025653723606,9.408849467947293
5,1.8325685474327051,1.1533794482336983,11.901191771808364,3.4444394587346427,1.48909395905037,4.044492055657281
6,1.2943258161435245,1.4472970505641638,129.32189304634664,7.081986369227249,1.6426399444751925,5.417226499385739
7,1.3808659350956338,5.441077887530452,7.39652328964036,13.326933471668424,1.9091902381474335,8.569078626468315
8,1.4198696628793033,1.2701797395218553,9.233393184099047,5.747478515546487,1.8620998107359477,21.02852916617209
9,1.462906129072597,2.0561718398047626,7.4752624776591325,13.12285934919619,1.5786300278571361,5.429680721180706
10,1.601911386572089,2.25429892721248,6.8528396485167855,6.658843223818458,1.667262204305735,11.156692499974476
11,1.4904170961537266,2.6464545642973962,10.501651186922299,6.344117974475585,1.6075817774537482,4.084603357709246
12,1.7805314095927216,3.829998748275978,5.932942260012636,13.649305195209932,1.7635574669580225,1.6755775130635706
13,1.3635172586624467,3.845971663966428,7.76493847035042,12.008641816142951,1.498794800321811,4.649173539194766
14,1.6705492498489907,1.739692669415607,8.662454618013792,4.900887870087062,1.502030053637452,1.5159820765655787
15,1.407884461698422,4.018457516217728,7.264680386544131,18.639051706871452,1.6523281755853245,7.2179892647549675
16,1.2546293138268196,1.4239312694700497,6.267335852870381,8.533567069176009,1.8304180402335966,3.7598831018917407
17,1.8651324171504422,1.7956185626031458,11.060698531350134,5.442404030676683,1.5101099590341431,1.8976730473969325
18,1.2757230419935137,2.2348152752189123,11.480101952481588,14.885523004456207,1.5686465303835861,3.2857420108819304
19,4.377285930325169,1.7526946568609023,5.574778469190064,7.499725243916593,1.6618014134824417,5.214719107707927
20,1.4467535285616504,5.664348179687806,8.800043006340422,17.919233340348605,1.752742046479799,3.9790076171887367
21,1.4776905111989294,6.068533719079005,22.20969517474,13.380809550523104,1.8897681928555239,17.651971440617146
22,1.3662328447389567,2.445785593921611,16.172772287325568,13.29827459876536,1.5573687330271424,4.095805323754995
23,1.5807435843687452,5.398022172603964,27.935937867267643,8.907541979657072,1.569578377168272,2.6450860281391364
24,1.359054099789623,3.1366523614644204,9.999068294880546,7.455632326997288,1.6059664708558332,8.30622425168589
