Sequence,Type,Traj t,Traj r,Rel t (delta+AD0-1),Rel r (delta+AD0-1),Rel t (delta+AD0-5),Rel r (delta+AD0-5),Seg t,Seg r
0,viso2+AC0-s,27.9138160337,6.2538517942,0.0501373373,0.0890020444,0.1126358009,0.2105582544,0.0196338401,0.0080716078
0,fusion,9.8572008464,2.8281260726,0.0480970131,0.0809724879,0.1076746762,0.1933981691,0.0133797194,0.0062839416
,,,,,,,,,
Sequence,Type,Traj t,Traj r,Rel t (delta+AD0-1),Rel r (delta+AD0-1),Rel t (delta+AD0-5),Rel r (delta+AD0-5),Seg t,Seg r
0,viso2+AC0-s,27.91,6.25,0.0501373373,0.0890020444,0.1126358009,0.2105582544,1.96,0.81
0,fusion,9.86,2.83,0.0480970131,0.0809724879,0.1076746762,0.1933981691,1.34,0.63
