Scene,epoch,NLL,ang_error
chess,13,-6.000429153442383,6.333098888397217
fire,4,-3.597639799118042,14.858368873596191
heads,11,-3.9256598949432373,14.343481063842773
office,15,-5.429544448852539,8.588654518127441
pumpkin,13,-5.0412492752075195,9.038177490234375
redkitchen,2,-5.00986385345459,8.810042381286621
stairs,11,-4.684578895568848,11.765793800354004
